,dAge,dMass,dSatXUVFrac,dSatXUVTime,dXUVBeta,dLRatioAge,dLXUVAge,dLbolAge,dRadiusAge,dTempAge
simulation_54,8.14084696173585,0.09325580237597587,-2.6297700394324948,7.263910515371302,-0.9352582190559666,474.0113605200091,1.396591e-06,0.000662,0.116804,2712.56625
simulation_55,6.592312722791315,0.106243680805711,-3.0188385319292768,2.23740157125317,-1.4730877911446891,5116.491282286007,2.058051e-07,0.001053,0.130136,2877.645197
simulation_56,3.2232924325276366,0.10473983633058236,-2.8993858100647807,9.760382686631267,-1.742340421777654,793.2475491644119,1.269465e-06,0.001007,0.128623,2862.601744
simulation_57,9.115853450739406,0.08390413113323962,-2.9227368695055818,9.03917045167598,-1.5377105998088456,846.6529850059878,4.240226e-07,0.000359,0.10417,2468.625631
simulation_58,7.102339395538518,0.10427836845420048,-2.8753038240926303,8.465797326214805,-1.2400193145833154,750.3966705291501,1.327298e-06,0.000996,0.128182,2860.24998
simulation_59,8.647170512669664,0.0709056163232216,-2.7514120063998844,3.7381562518115135,-0.7547501808873254,1061.833893094228,5.549691e-08,5.89285e-05,0.090448,1685.145405
simulation_60,8.021710086960466,0.08902833135490995,-2.94375566919656,8.512590211899496,-1.4162584567457506,878.984402037439,5.984179e-07,0.000526,0.111733,2620.533226
simulation_61,3.7328966457259263,0.09957060685410662,-2.8759995157380964,11.1441176680934,-1.4024041925849329,751.6478093828206,1.13484e-06,0.000853,0.12353,2804.112078
simulation_62,2.026487479003304,0.10717679492605024,-3.2738196008363207,1.4673350896929045,-0.6617966191794377,2320.183621050425,4.654804e-07,0.00108,0.131168,2885.540796
simulation_63,7.406008850292682,0.07341348985835965,-3.0325348266103065,6.329980494571448,-1.5914287100746916,1382.2098478249022,6.935826e-08,9.586767e-05,0.090596,1895.890144
simulation_64,10.310235565732388,0.10552108890106217,-2.5502221684908557,8.899907933005757,-1.375609888935773,434.79628096141545,2.385025e-06,0.001037,0.130073,2869.491774
simulation_65,8.815887291789334,0.10625049127107032,-3.2042456394202428,3.3989406377889138,-1.287676483698473,5457.367161430058,1.934999e-07,0.001056,0.130143,2878.765365
simulation_66,8.757663944890723,0.08768752089461304,-2.853427368952182,5.0370349520280895,-1.5436373552419405,1674.4686440048267,2.866581e-07,0.00048,0.109844,2584.493997
